Sample,Ammonia,Cyclohexanone,Ethanol,Acetone,Methanol,Sensor1,Sensor2,Sensor3,Sensor4
1,50,50,0,0,0,299817.206984,231865.708097,1640372.959328,1000677.147216
1,50,50,0,0,0,299665.007043,231973.927135,1640662.039148,999025.057398
1,50,50,0,0,0,299702.865235,231704.875866,1638048.991573,1000475.615092
1,50,50,0,0,0,299668.967725,231740.739912,1638292.920496,1000001.716615
1,50,50,0,0,0,299684.735065,231671.773441,1636648.352488,999415.568474
1,50,50,0,0,0,299738.330469,231644.630186,1636775.320465,999336.653498
1,50,50,0,0,0,299683.935243,231653.310299,1635818.223671,998591.081117
1,50,50,0,0,0,299614.553300,231527.401394,1635088.109477,997676.880657
1,50,50,0,0,0,299666.606540,231723.344750,1634478.197253,995819.266302
1,50,50,0,0,0,299585.391135,231565.926758,1633878.821972,997387.298185
1,50,50,0,0,0,299620.873599,231702.724795,1634207.675326,995371.112603
1,50,50,0,0,0,299563.351017,231751.602974,1635029.837006,996088.635141
1,50,50,0,0,0,299675.251661,231766.796711,1634375.442014,995658.021726
1,50,50,0,0,0,299628.755216,231671.773441,1633687.139013,995443.828950
1,50,50,0,0,0,299545.994708,231491.059479,1631634.623577,994469.528578
1,50,50,0,0,0,299534.196324,231487.810842,1631142.502424,993313.900327
1,50,50,0,0,0,299617.713424,231547.475398,1631795.292038,994377.347646
1,50,50,0,0,0,299594.070812,231698.370272,1630630.106276,992394.487937
1,50,50,0,0,0,299602.750866,231639.202068,1630500.429918,991891.111766
1,50,50,0,0,0,299545.994708,231618.566353,1629520.516547,991252.984645
1,50,50,0,0,0,299539.714837,231648.957074,1629510.295787,990879.263111
1,50,50,0,0,0,299497.968223,231544.776011,1629305.567605,990931.995281
1,50,50,0,0,0,299449.116357,231479.689529,1628773.456452,990550.647774
1,50,50,0,0,0,299443.600347,231431.415224,1628326.708788,990079.550914
1,50,50,0,0,0,299505.045886,231472.092531,1628330.167534,990188.899556
1,50,50,0,0,0,299537.355178,231498.657346,1628169.921867,989938.680741
1,50,50,0,0,0,299435.726031,231390.774083,1627420.172526,989663.229552
1,50,50,0,0,0,299469.583986,231451.477606,1625738.004897,989549.974974
1,50,50,0,0,0,299336.543853,231315.436277,1623446.608725,989622.267658
1,50,50,0,0,0,299429.449625,231372.865816,1624160.105960,988962.013484
2,50,0,0,50,0,12103395.550913,50743909.925735,8807017.541809,14788268267.403370
2,50,0,0,50,0,12459693.052450,52241251.079249,8927823.751058,12059296313.487537
2,50,0,0,50,0,11763280.580527,52884563.573128,8903318.599063,16338755740.666889
2,50,0,0,50,0,12289957.004589,52472125.784720,8896014.441377,17772068448.456207
2,50,0,0,50,0,12033966.976645,51207412.368423,9076938.600959,19670162959.307407
2,50,0,0,50,0,11974670.624093,51455463.537922,9022803.570933,14368714820.884491
2,50,0,0,50,0,12153581.302592,49608778.366279,8900124.332678,11987933239.905474
2,50,0,0,50,0,11661361.424728,54321967.351741,9207511.529314,16208038545.726818
2,50,0,0,50,0,11928078.178634,51652993.840106,8933274.971086,11070746938.409878
2,50,0,0,50,0,11561178.556587,54987814.569849,9258469.502771,12429244261.947903
2,50,0,0,50,0,11278276.449324,54439156.441079,8980885.633504,25012947324.127899
2,50,0,0,50,0,11887514.625158,51168465.454269,9137086.055182,16208038545.726818
2,50,0,0,50,0,11321893.967935,58850530.589011,9362722.105106,15007368394.476738
2,50,0,0,50,0,11382741.887685,55793236.364575,9323596.939278,13597185890.041286
2,50,0,0,50,0,11590783.896792,61391042.369154,9449031.002960,17316348147.473160
2,50,0,0,50,0,11519715.307827,57888830.199635,9315870.507578,14368714820.884491
2,50,0,0,50,0,11338013.982190,58713634.591433,9395846.969303,15119371735.145397
2,50,0,0,50,0,11399686.456452,61391042.369154,9471441.612525,13876601037.257605
2,50,0,0,50,0,11305819.326792,57378856.398924,9265642.175662,14069345369.821941
2,50,0,0,50,0,11880426.818187,67302854.186570,9707912.373297,18089444470.231304
2,50,0,0,50,0,11642276.208173,69766544.546500,9513879.370376,19113431209.497650
2,50,0,0,50,0,11332850.161879,64549959.364294,9452319.111543,14788268267.403370
